,LENSID,FLAGTYPE,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,KAPPA,FSTAR,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,SIGCRIT,DSLUM,L_I,REFF,REFF_T,weight,ABMAGI_IN
56,59271514,0,2,1.374,169.8244,0.3104227,157.4404,0.03738368,-153.9992,2.88,0.05104986,-0.1382739,20.93,21.30722,0.5434891,"[0.2372, -0.0194, 0.0, 0.0]","[-0.3496, 0.1295, 0.0, 0.0]","[2.8107, -0.7065, 0.0, 0.0]","[0.0, 27.926, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1736.86963,9788.78223,-22.6896992,23.6379452,1.37399995,1607.64,544.925,0.0,24202.1,0.0,0.0,0.0,1,-27.363265205282985
57,6859988,0,2,0.546,195.8845,0.2234625,62.66535,0.05439871,161.1239,2.37,-0.06640996,0.09059279,23.53,22.13098,1.418058,"[0.4114, -0.413, 0.0, 0.0]","[-0.44, 0.7138, 0.0, 0.0]","[-3.6275, 10.6942, 0.0, 0.0]","[14.018, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1317.64575,3149.32617,-22.4431801,20.5939083,0.546000004,1683.11,1078.63,0.0,19114.9,0.0,0.0,0.0,1,-23.422860155701528
58,44808531,0,2,1.2,251.1886,0.2404696,-16.02993,0.1041728,-97.87579,3.2,-0.124437,-0.0666206,19.87,18.49168,1.549551,"[-0.7167, 0.5401, 0.0, 0.0]","[-0.5788, 0.3276, 0.0, 0.0]","[9.1078, -3.559, 0.0, 0.0]","[0.0, 52.975, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1710.56787,8279.14941,-23.5859985,22.2039299,1.20000005,1557.34,661.332,0.0,27471.5,0.0,0.0,0.0,1,-28.524411917167885
59,27502298,0,2,0.962,213.7962,0.4534488,129.5351,0.07645401,31.86005,4.17,0.1381319,-0.1477266,23.17,22.05868,1.523857,"[0.6764, -0.3763, 0.0, 0.0]","[-0.6702, 0.4316, 0.0, 0.0]","[2.7831, -16.0466, 0.0, 0.0]","[0.0, 48.563, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1636.23169,6298.58252,-22.9846992,21.9735146,0.962000012,1409.07,788.123,0.0,37662.9,0.0,0.0,0.0,1,-25.671568797719747
60,49825920,0,4,1.262,301.3006,0.4730979,152.2017,0.04874698,-172.0764,3.64,-0.219174,-0.1605328,23.19,22.2162,2.199235,"[-1.5189, 0.4252, 0.1394, 0.3618]","[-0.0015, 0.6471, -1.1874, -1.1415]","[2.452, -0.9049, -15.9783, 17.09]","[0.0, 195.843, 85.918, 85.796]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1722.17676,8811.76562,-24.1096611,21.8776531,1.26199996,1488.47,648.909,0.0,32046.2,0.0,0.0,0.0,1,-25.60088265394286
61,9204144,0,2,0.612,238.2319,0.2511473,37.75023,0.08674918,-128.0919,2.9,0.5246224,0.06014218,21.53,21.6293,2.157331,"[-0.5226, 1.5436, 0.0, 0.0]","[0.0824, 0.7028, 0.0, 0.0]","[-0.9126, 2.1373, 0.0, 0.0]","[116.552, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1391.53992,3615.97778,-23.0060787,20.3970509,0.611999989,1604.51,1029.34,0.0,24404.6,0.0,0.0,0.0,1,-26.01935845805583
62,13454697,0,2,0.712,272.8978,0.2644226,-149.4436,0.03721679,-70.63206,3.47,0.9484307,0.7150732,21.53,23.09956,2.769863,"[1.9955, -0.1813, 0.0, 0.0]","[1.569, -0.1438, 0.0, 0.0]","[1.9202, -0.2356, 0.0, 0.0]","[0.0, 365.826, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1483.86145,4349.11475,-23.4374409,20.4665623,0.712000012,1514.87,946.553,0.0,30268.5,0.0,0.0,0.0,1,-26.58695450894273
63,14002518,0,2,0.724,213.3045,0.2501164,-98.20956,0.02242169,-141.9639,1.56,0.2558326,0.07361611,22.07,22.29598,1.105859,"[-0.28, 0.7329, 0.0, 0.0]","[-0.0398, 0.404, 0.0, 0.0]","[-0.8121, 3.1184, 0.0, 0.0]","[50.19, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1493.50708,4438.96582,-22.8001595,21.1602516,0.723999977,1747.15,741.369,0.0,11450.1,0.0,0.0,0.0,1,-23.94804637512125
64,102443046,0,2,1.83,225.9436,0.4221693,135.8347,0.0508089,17.42994,4.21,0.05071953,0.2664881,21.81,22.62124,0.8971768,"[-0.074, -0.048, 0.0, 0.0]","[-0.1741, 0.7227, 0.0, 0.0]","[-0.4737, 2.8914, 0.0, 0.0]","[106.597, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1739.9967,13935.459,-23.7806606,23.7699451,1.83000004,1403.26,458.12,0.0,38090.2,0.0,0.0,0.0,1,-27.924066305072696
65,8752742,0,2,0.6,264.85,0.3572699,81.24684,0.06334962,-24.60586,4.4,-0.2062379,0.6808915,23.61,23.15375,2.958511,"[0.3758, -0.607, 0.0, 0.0]","[-0.6846, 2.1059, 0.0, 0.0]","[-1.5223, 2.3242, 0.0, 0.0]","[182.36, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1378.92273,3530.04224,-23.2749214,20.0639782,0.600000024,1376.28,967.707,0.0,40132.3,0.0,0.0,0.0,1,-25.007470274287034
