,sersic_bulge,size_minor_bulge_true,dec_true,size_disk_true,size_minor_disk_true,size_true,size_bulge_true,mag_i,ra_true,mag_true_i,sersic_disk,magnification,size_minor_true,galaxy_id,seed,sf_z,tau_y,tau_g,sf_u,tau_u,sf_y,tau_z,sf_r,tau_i,M_i,sf_g,tau_r,sf_i,flux_y,flux_u_noMW,dec,flux_z_noMW,flux_i,flux_g_noMW,is_pointsource,is_variable,flux_g,flux_i_noMW,flux_z,flux_r_noMW,ra,flux_u,flux_y_noMW,redshift,flux_r,ellipticity_1_disk_true,ellipticity_2_bulge_true,ellipticity_2_true,ellipticity_2_disk_true,ellipticity_1_true,ellipticity_2_true_dc2,ellipticity_1_bulge_true,ellipticity_disk_true,ellipticity_true,ellipticity_1_bulge_true_dc2,ellipticity_bulge_true,ellipticity_1_true_dc2,ellipticity_1_disk_true_dc2,ellipticity_2_bulge_true_dc2,ellipticity_2_disk_true_dc2,Mag_true_i_lsst_z0,bulge_to_total_ratio_i,stellar_mass_bulge,halo_mass,stellar_mass,stellar_mass_disk,shear_2,shear_1,convergence
10,4.0,0.98128307,-27.56905947865293,2.2315044,0.9559545,2.0598307,1.5100522,20.48088968744399,53.12374595835988,20.477234,1.0,0.9966385454798712,0.97954386,1875518848,9078810,0.4734,691.2,615.1,0.7165,588.4,0.4488,678.6,0.5565,662.8,-19.840545032484375,0.6298,641.9,0.5069,3617.0999,1769.5731,-27.575213567247133,2836.4688,2611.0237,2170.4387,1,1,2098.6746,2660.2349,2795.9912,2136.5576,53.13207643005481,1694.2006,3660.1401,0.57437164,2084.6335,-0.38315612,0.061242703,0.10255936,0.11547109,-0.34031242,-0.1161040326761129,-0.20321552,0.4001777,0.35543066,0.2006002244967041,0.21224329,0.3359327455538661,0.3782250755868717,-0.0693308268635762,-0.1307209764932606,-22.369291,0.22998308,23235447000.0,1400267467357.7466,60870775000.0,37635326000.0,-0.0009892420980649,0.0045054568777189,-0.0016955973491508
11,4.0,0.4302402,-27.94615224682154,0.7518789,0.4238033,0.5034256,0.50143063,20.443901636819657,52.6017119691214,20.504951,1.0,1.0578398810479204,0.43055046,1875519165,1760487,0.7272,91.44,81.19,1.098,77.6,0.6897,89.75,0.854,87.62,-18.283341227509233,0.9657,84.79,0.7784,925.105,442.03894,-27.952856398218334,709.44403,651.04193,539.1936,1,1,524.5772,661.0563,701.16425,531.7507,52.608802267401785,426.59402,934.0784,0.56535167,521.1726,-0.24043673,-0.038782723,-0.03960253,-0.1416326,-0.06722959,0.0768955270613794,-0.06583788,0.27905127,0.07802678,0.0129643883494457,0.07641156,0.0132384348939685,0.047345311074907,0.0753037260932735,0.2750055182617267,-22.31564,0.98800033,51516125000.0,1389856658388.7324,51562115000.0,45992330.0,0.0031498010782643,0.0062409308566677,0.0276978243279817
12,4.0,0.3395072,-27.93896388040369,1.1209011,0.3345766,0.85821176,0.4580769,22.40938397999231,52.54438506011319,22.404482,1.0,0.99549518351516,0.3809628,1875525303,8610754,1.212,368.5,333.1,1.845,320.6,1.148,362.7,1.428,355.4,-14.973598755566567,1.619,345.7,1.299,42.931396,20.696913,-27.945474986574006,33.20172,30.497526,25.300982,1,1,24.595196,30.980545,32.802765,24.935125,52.55157795978513,19.952745,43.360428,0.56889695,24.424479,0.5385675,-0.011729995,-0.030388769,-0.042628188,0.3839338,-0.1486348645666984,0.14819756,0.54025185,0.38513458,0.137144022198997,0.14866106,0.3552975091593006,0.4983975682705474,-0.0573727162172158,-0.2084992243135895,-20.225153,0.3589476,1424395900.0,390412213002.8169,3013156400.0,1588760300.0,-0.0032788312793508,-0.0030717610460668,-0.0022701173528441
13,4.0,0.4136658,-27.59098973372205,0.8104879,0.67011005,0.71320015,0.4828,20.91426343706738,52.68811483032366,20.912678,1.0,0.9985406079050336,0.5959561,1875532620,8170594,0.9334,97.23,86.17,1.406,82.3,0.8855,95.4,1.095,93.1,-17.035495928057074,1.238,90.05,0.9987,288.89597,138.99367,-27.597946834080346,223.01921,204.22075,169.76004,1,1,164.31151,207.95488,219.9324,167.35268,52.69631801186491,133.24739,292.22665,0.56743515,163.40758,-0.09240579,0.01726255,0.020046808,0.021223035,-0.08728445,0.0650670989242135,-0.07516171,0.09481164,0.08955697,-0.0529897084644023,0.0771186,-0.0615363588444686,-0.0651469468306613,0.0560300717715998,0.068884849764265,-21.835903,0.29595366,10384693000.0,1033286451200.0,27783277000.0,17398583000.0,0.0103884409399745,0.0051026262746969,-0.0007974228249736
14,4.0,0.46597245,-27.53646428107575,0.7738745,0.3793748,0.5645848,0.5645848,20.50079320252069,53.16049917264137,20.49313,1.0,0.9929665326003828,0.46597248,1875617541,1586132,1.084,174.8,155.1,1.632,148.3,1.029,171.5,1.272,167.5,-17.96713057131094,1.437,162.1,1.16,481.28152,249.96822,-27.542912037865083,401.16226,378.26227,313.91568,1,1,304.14175,384.95163,395.76434,308.72995,53.168402972470986,239.92627,486.6889,0.6154121,301.64423,0.12612674,-0.08894661,-0.08894661,-0.31797564,0.035281148,-0.0630072055430993,0.035281148,0.3420767,0.09568834,0.0720163248502703,0.09568834,0.0720163248502703,0.2574514844164387,-0.0630072055430993,-0.2252447431846655,-22.88282,1.0,85280285000.0,2870841217081.6904,85280285000.0,0.13106708,-0.0067484917532914,-0.0005200675363133,-0.0035582195778749
15,4.0,0.49595383,-27.582304469015853,0.83398265,0.8005874,0.51565117,0.50835735,20.89709960929359,52.74095044121114,20.890234,1.0,0.9936964852301762,0.5028873,1875621922,1576886,0.9763,104.1,93.98,1.481,90.4,0.9254,102.4,1.149,100.3,-17.787381882246287,1.301,97.54,1.046,489.2827,245.96051,-27.589394740097003,393.38287,367.6595,304.18674,1,1,294.2679,374.4863,387.843,298.83542,52.74871726851892,235.62354,495.03317,0.5882506,291.6653,-0.013856609,-0.009075638,-0.009208793,-0.0150134815,-0.008499204,-0.0089901667127068,-0.00837631,0.02043062,0.012531494,-0.0086039006536458,0.012350295,-0.0087301339679163,-0.014233104150445,-0.0088601734566858,-0.0146570464579435,-22.115223,0.9602077,36289516000.0,567399103819.7184,36328610000.0,39097676.0,0.0034601144814415,0.0022660358840171,-0.0031752630690693
16,4.0,0.18156987,-27.92037734330421,0.3368243,0.14078839,0.26323298,0.26245463,20.81310036104555,52.670845015220735,20.811071,1.0,0.9981329990353438,0.1812094,1875626270,9970737,1.187,201.7,178.3,1.794,170.1,1.126,197.9,1.395,193.0,-16.621139427822566,1.578,186.5,1.271,151.69246,77.82205,-27.92752310912812,124.43527,117.67325,97.147995,1,1,94.31704,119.618774,122.870026,95.4406,52.678713161974684,74.89619,153.28416,0.60455996,93.392555,-0.23453648,-0.14949414,-0.15145643,-0.33684042,-0.105456635,-0.1154017945355463,-0.10409033,0.41044953,0.18455392,-0.1421568554595099,0.18216282,-0.1440228303313235,-0.3203080340829187,-0.1139066368006917,-0.2566546001928032,-22.233097,0.98114026,32342542000.0,1077532389318.31,32358610000.0,16066901.0,0.0067842276465232,0.0030366739593323,-0.0009624070417018
17,4.0,0.28139555,-27.87221561016382,0.454532,0.3867389,0.40604073,0.29764497,21.208287768482517,52.51951428785504,21.193542,1.0,0.9865108923721414,0.35693556,1875626896,818,0.8229,171.4,149.3,1.247,141.7,0.7801,167.7,0.9678,163.1,-17.687031840329187,1.096,157.0,0.8813,401.9983,206.38213,-27.879105655487805,330.05664,312.23856,257.74457,1,1,250.3472,317.32086,325.96805,253.22275,52.52628686519228,198.73936,406.15164,0.60532427,247.87102,0.0675977,-0.015276439,-0.03503557,-0.043867484,0.05398814,0.0445740383612985,0.023540264,0.08058415,0.06436001,0.0202429329004809,0.028062673,0.0464259161251833,0.0581291595497091,0.0194354649936952,0.0558104525216527,-21.680166,0.25808814,15245788000.0,281096780439.43665,30136302000.0,14890513000.0,0.0007432577393059,0.0021526436052681,-0.0068161390959675
18,4.0,0.2810291,-27.67371882703532,0.5352867,0.4540877,0.4712568,0.286367,21.817665394520176,52.50543218052517,21.828888,1.0,1.0103899504227143,0.41508082,1875628001,5559787,0.7921,285.5,253.3,1.192,242.0,0.7516,280.2,0.929,273.5,-16.3138663498121,1.049,264.6,0.8473,120.22655,61.207798,-27.68115459293237,97.82444,92.28698,76.14395,1,1,73.93345,93.807434,96.59883,74.794106,52.51149073654127,58.91568,121.48262,0.5984232,73.19595,0.07155992,-0.0046063717,-0.031033183,-0.0401851,0.055262577,-0.0120402226492283,0.008202831,0.082071096,0.06337989,0.0092364010572042,0.009407715,0.0622257474780712,0.0805765863359499,-0.0017871754010748,-0.0155909744618414,-20.826933,0.18516855,3823012600.0,34297745373385.92,6709038000.0,2886025700.0,-0.0061129556495499,-0.0058822220423899,0.005118670726333
19,4.0,0.26993108,-27.557471873058248,0.4320251,0.26723722,0.34981498,0.3336443,20.643212246326986,53.07342887697682,20.637484,1.0,0.994737613922811,0.2709984,1875628421,3369731,1.448,202.1,180.6,2.191,173.0,1.373,198.5,1.702,194.1,-16.56359637975809,1.926,188.2,1.55,156.12743,78.79788,-27.56394398716591,125.99675,117.9221,97.58847,1,1,94.32923,120.16593,124.17878,95.85991,53.080911932545234,75.40613,158.00833,0.59065765,93.50346,0.17702094,0.06968064,0.083805084,0.15556043,0.09536649,0.1211709237130117,0.0792935,0.23565963,0.12695692,0.0315042220744115,0.1055597,0.0378902098202054,0.0703324596695955,0.1007488664678925,0.2249195543020838,-22.414892,0.8620809,44703710000.0,6743618216743.662,56777183000.0,12073471000.0,-0.0013568751935643,0.0039544028381997,-0.0026503396983277
